id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,postcode,rich,borough,before_pandemic
16427742,Cozy room (1 br in a 2 br apt) Upper west side,107699884,Cynthia,Upper West Side,40.79096,-73.97582,Private room,86.0,1,42,2019-06-15,1.55,1,24,10024,1.0,Manhattan,1
16463445,Beautiful Apt in UES,50549111,Laura,Upper East Side,40.77198,-73.95003,Entire home/apt,200.0,3,3,2019-01-01,0.1,1,0,10075,1.0,Manhattan,1
16488277,Your Fab Home Away from Home awaits You in NYC!!!!,59559158,Hello,Tribeca,40.72355,-74.01045,Entire home/apt,375.0,2,30,2019-06-09,1.03,1,38,10013,1.0,Manhattan,1
16514343,"Modern, Beautiful Tribeca 2-Bedroom Loft",12554468,Eric,Tribeca,40.71845,-74.00932,Entire home/apt,259.0,2,116,2019-07-06,4.03,1,1,10013,1.0,Manhattan,1
16517710,UNIQUE & COZY STUDIO NEAR CENTRAL PARK,20354091,Ana,Upper East Side,40.76513,-73.96583000000001,Entire home/apt,160.0,5,14,2019-06-30,1.22,1,92,10065,1.0,Manhattan,1
16558246,Cozy studio Upper East/Manhattan,109036773,Mila,Upper East Side,40.76794,-73.95711999999999,Entire home/apt,220.0,8,15,2019-06-14,0.52,1,14,10021,1.0,Manhattan,1
16599472,Lavish studio in Downtown Manhattan,9599840,Danny,Financial District,40.70493,-74.01035999999999,Entire home/apt,235.0,2,123,2019-07-02,4.05,1,235,10004,1.0,Manhattan,1
16675965,Large and cosy apartment - Upper east!,13257873,Maria,Upper East Side,40.776720000000005,-73.95559,Private room,120.0,3,14,2019-06-16,0.53,1,36,10028,1.0,Manhattan,1
16706758,Private midtown Apt w/ shared bath,10585694,Roy,Midtown,40.75369,-73.96679,Private room,99.0,2,21,2019-03-18,0.7,1,3,10022,1.0,Manhattan,1
16777938,Clean & Large room hearth of NYC Midtown!!,57657144,Tomas,Midtown,40.75481,-73.96982,Private room,119.0,9,53,2019-05-12,1.79,1,15,10022,1.0,Manhattan,1
16781516,Large NYC room billionaires row 5 min CentralPark!,22101365,Natalie,Upper East Side,40.76404,-73.96547,Private room,99.0,3,79,2019-06-23,2.75,1,107,10065,1.0,Manhattan,1
16783828,GORGEOUS Very Large Room next to Central Park!,44688209,Mike,Upper East Side,40.762809999999995,-73.96718,Private room,117.0,3,67,2019-06-29,2.26,1,99,10022,1.0,Manhattan,1
16793429,COZY at MOTT,3654281,Wen,Little Italy,40.71909,-73.99562,Entire home/apt,150.0,7,10,2019-01-07,0.44,1,43,10013,1.0,Manhattan,1
16846366,5* Brand New Luxury Apartment with Backyard Oasis,436642,Joel,Upper West Side,40.7843,-73.98262,Entire home/apt,995.0,4,20,2019-07-01,0.73,1,290,10024,1.0,Manhattan,1
16854754,"LRG DESIGNER STUDIO/1-BED, MIDTOWN, DOORMAN, ELEV.",23502183,Daniel,Midtown,40.75562,-73.96539,Entire home/apt,149.0,3,8,2019-05-14,0.34,2,0,10022,1.0,Manhattan,1
16865916,"Modern Living, Views, Summer in the City!",4462722,Jay,Upper East Side,40.765159999999995,-73.95868,Entire home/apt,249.0,2,7,2019-05-07,0.27,1,363,10021,1.0,Manhattan,1
16929145,UES(mini loft)Clean flex room (Female Only),7093576,Eun M,Upper East Side,40.777590000000004,-73.95321,Private room,65.0,1,133,2019-06-19,4.52,1,43,10028,1.0,Manhattan,1
16930274,"Great 1 BR- Q train, Museum Mile and Central Park!",113110121,Christina,Upper East Side,40.768679999999996,-73.95744,Entire home/apt,110.0,5,22,2019-07-02,1.27,1,7,10021,1.0,Manhattan,1
16969156,Cozy Manhattan Studio,113460991,Shain,Midtown,40.75784,-73.96088,Entire home/apt,175.0,14,8,2019-01-05,0.28,1,310,10022,1.0,Manhattan,1
16971247,"Charming, Light drenched Upper East Side studio",5744776,Jensine,Upper East Side,40.77565,-73.94919,Entire home/apt,153.0,2,4,2019-06-02,0.14,1,3,10028,1.0,Manhattan,1
16991994,Spectacular one bedroom Close to Park,113805886,Yaacov,Upper East Side,40.777429999999995,-73.94977,Entire home/apt,140.0,31,4,2019-04-12,0.23,33,338,10028,1.0,Manhattan,1
17076571,Middle of center of New York City!,15625009,Anders,Upper West Side,40.78461,-73.97627,Entire home/apt,165.0,1,152,2019-07-06,5.32,1,228,10024,1.0,Manhattan,1
17093180,Studio in Manhattan (UES),99634835,Aspano,Upper East Side,40.770579999999995,-73.95358,Entire home/apt,160.0,1,68,2019-06-04,2.33,1,19,10021,1.0,Manhattan,1
17189799,Spacious Studio - Midtown East,4316106,George,Midtown,40.7544,-73.96721,Entire home/apt,200.0,2,43,2019-04-10,1.48,1,0,10022,1.0,Manhattan,1
17224797,Quiet Apt in the Upper West Side near Central Park,115567902,Élodie,Upper West Side,40.78141,-73.97681,Entire home/apt,160.0,4,22,2019-03-22,0.75,1,0,10024,1.0,Manhattan,1
17252480,Private Studio in a superb location,3726590,Carolyn Li Ming,Upper East Side,40.76851,-73.95506,Entire home/apt,150.0,1,6,2019-05-02,0.21,1,7,10021,1.0,Manhattan,1
17404164,Sunny Studio near Central Park,71482332,Jacob,Upper East Side,40.76684,-73.96203,Entire home/apt,126.0,1,31,2019-01-03,1.12,1,0,10065,1.0,Manhattan,1
17515547,BEST LOCATION IN SOHO AND SPACIOUS APARTMENT,118745519,Alonso,Little Italy,40.71942,-73.99694000000001,Entire home/apt,155.0,1,67,2019-01-20,2.45,1,189,10013,1.0,Manhattan,1
17544058,Quite and comfortable shared room in UES,94100043,Mohamed,Upper East Side,40.76675,-73.95428000000001,Shared room,35.0,1,118,2019-01-03,4.21,2,0,10021,1.0,Manhattan,1
17557517,Kids friendly 2 bedroom close to Subway and C.Park,43685722,Gregor,Upper West Side,40.78873,-73.97402,Entire home/apt,195.0,2,16,2019-06-07,0.59,1,0,10024,1.0,Manhattan,1
17667639,Your 1 bedroom home away from home!,43907907,Elle,Upper West Side,40.795629999999996,-73.97634000000001,Entire home/apt,215.0,3,38,2019-06-10,1.4,1,31,10024,1.0,Manhattan,1
17701658,Luxury Private room in Upper East Side,10661558,Gio,Upper East Side,40.775459999999995,-73.94896999999999,Private room,126.0,1,120,2019-06-30,4.28,4,148,10028,1.0,Manhattan,1
17702057,Upper East Side Cozy Apartment,26177358,Vladimir,Upper East Side,40.7683,-73.95919,Entire home/apt,230.0,4,34,2019-06-25,1.33,1,4,10021,1.0,Manhattan,1
